MI,42.9742,-85.9311
NH,43.06793627,-70.79859864
TN,35.91850835,-86.88540525
NJ,41.2911,-74.7485
LA,30.39100748,-90.03365442
KS,39.10614083,-94.70725125
TX,32.2749,-97.1534
KS,39.10614083,-94.70725125
AK,61.53757925,-149.5421038
FL,27.2856863,-80.36344364
AZ,34.65223077,-112.2990077
MI,43.353,-83.0142
PA,40.5725,-79.9579
VT,44.47554792,-73.21075
VT,44.54866341,-73.15544146
VA,38.4308042,-78.88316107
TX,33.579,-96.1889
FL,30.69733672,-87.05111638
TN,35.7915575,-83.54468333
TX,32.46185192,-97.74490577
MA,42.3872,-72.460375
MI,42.94334184,-85.64301557
MD,39.31307269,-76.61182202
CA,33.7576,-118.0777
KS,39.00010027,-95.25458795
SC,33.83166,-78.65013
GA,34.05107468,-84.6798557
FL,27.80384217,-80.49428072
FL,30.26690468,-81.61637283
FL,26.70504529,-80.1351401
FL,27.5701,-82.3798
FL,26.19318197,-81.73703022
TX,32.83516808,-96.80811786
FL,26.25957024,-80.18338936
VA,38.74820708,-77.5305384
MO,38.62382493,-90.3085277
PA,40.60203012,-75.50084324
PA,40.44309195,-79.97424169
MO,38.62382493,-90.3085277
TN,36.13170004,-86.77681349
NY,42.261535,-73.74847571
WA,47.47784172,-122.157589
IL,42.09027442,-87.98593459
WI,43.01454743,-88.25665368
FL,28.02859059,-82.76900118
FL,27.79451493,-82.67515963
WA,47.91181404,-122.0352068
AR,35.05733591,-92.46246298
MN,44.7258,-93.0656
CT,41.7525,-73.0604
MI,43.3546,-83.7414
NV,39.50650741,-119.8174511
FL,27.79451493,-82.67515963
TX,30.30846944,-97.76011171
KS,37.0931,-96.9558
MD,39.61701593,-75.86718938
LA,30.6661,-92.0426
GA,33.2791,-83.699
WI,44.52863972,-88.04377664
TN,35.16131194,-84.87355771
CA,33.80016512,-116.5353729
GA,33.91221042,-84.88004788
KY,36.90668547,-87.46023846
MA,42.3872,-72.460375
TX,31.4565,-94.8721
OH,40.7899,-83.6572
OR,45.51052971,-122.6652038
WA,47.30653738,-122.3429007
FL,26.6164217,-81.97006592
PA,40.24618085,-75.6281383
WA,47.59931916,-122.6697123
NJ,38.9834,-74.9025
CO,37.9086,-107.296
OR,42.46357702,-123.3706925
AZ,32.25994076,-110.9275423
NE,40.4517,-98.6672
FL,28.02859059,-82.76900118
FL,27.79451493,-82.67515963
CA,37.76999211,-122.425394
OH,40.00341687,-82.99822087
BC,48.45668562,-123.383972
CA,34.1359,-117.1553
NJ,40.5953,-74.6173
ON,42.84585,-80.7323375
OR,45.5559,-123.1511
AZ,33.53538055,-112.04946
NC,35.3593,-79.4354
LA,29.99880563,-90.17318113
CA,34.18714852,-118.4612623
IA,42.0743,-94.88
SC,34.83721313,-82.33834929
AZ,33.41403567,-111.9209196
NC,36.2686,-79.9677
CA,32.9017,-116.8933
CA,38.76717396,-121.3107662
FL,26.98100661,-82.11690661
AZ,33.41403567,-111.9209196
NY,40.74430707,-73.98772448
FL,25.80449581,-80.13392828
IN,39.80764885,-86.14221403
CA,34.15461809,-117.3040963
FL,26.6164217,-81.97006592
NV,36.14124586,-115.1865919
WA,45.942,-122.6723
WA,47.7543,-122.1635
FL,25.77414271,-80.2895185
KS,38.7585,-95.7104
RI,41.5171,-71.2789
AZ,33.42126454,-111.7727973
WA,47.37553137,-120.3548163
PA,39.99063505,-75.14580121
WV,38.2537,-81.3732
VA,36.83730134,-76.06194815
CA,34.00614941,-118.3923159
MI,41.931,-83.4554
CA,36.78825093,-119.7894705
NY,40.74430707,-73.98772448
TX,31.79232818,-106.3748489
KY,37.68578947,-84.58838421
IL,38.9455,-90.1282
CA,40.4458,-122.3548
WA,48.1853,-121.6778
CT,41.6034,-72.7763
TX,32.83516808,-96.80811786
AZ,33.29885794,-111.8650639
MO,37.92709286,-91.77891429
MO,37.92709286,-91.77891429
RI,41.77119239,-71.46207462
FL,29.8790313,-81.36659178
CO,38.8614783,-104.7803978
CO,39.0289,-104.483
NM,35.7617,-105.9325
CT,41.3804,-71.9151
NY,40.76704403,-73.52539057
KS,37.69639785,-97.3295401
OR,42.31514948,-122.8460668
TX,31.39849041,-100.4520726
AZ,33.42126454,-111.7727973
TN,36.13170004,-86.77681349
VT,43.323,-72.47
TX,32.83516808,-96.80811786
MD,38.7395,-76.9118
TN,35.12547266,-89.92692482
CA,33.90197023,-118.0077534
TX,30.30846944,-97.76011171
CA,33.83243274,-117.8913252
